Number,SnapId,Distance,Bad Matches,Total Matches,Confidence,FaceId,Top,Bottom,Left,Right,UserEstimate
6304,"5c6d24007c4358f081a09dbf, 'New', 'New', 'New'",0.994646430015564,f1fdc824-613e-4c58-a6bd-0695b015530e,98,327,168,397,undefined,,,
6305,5c6d23e87c4358f081a09d57,0.16497889161109924,0,2,1.0821576118469238,b847951b-0dd9-4d44-a7eb-331a175bb53e,121,350,260,490,undefined
6306,"5c6d23cc7c4358f081a09cf1, 'New', 'New', 'New'",1.0685268640518188,1b5dd7c4-fe45-4ce4-aa78-d30956e10340,75,304,5,234,undefined,,,
6307,5c6d22e57c4358f081a09bd2,0.16176259517669678,0,2,0.13418984413146973,f9351ae1-7788-48ee-8918-3ec3655ecaf8,303,436,241,374,undefined
6308,5c6d21157c4358f081a098ca,0.14938312768936157,0,2,0.12429451942443848,25a1c594-d99b-4d0d-a9ac-50411f72cf9a,303,436,443,575,undefined
6309,"5c6d19207c4358f081a08d45, 'New', 'New', 'New'",1.0352164506912231,2967f7c4-59eb-48be-bb60-e951ca83446b,290,422,228,360,undefined,,,
6310,"5c6d19207c4358f081a08d45, 'New', 'New', 'New'",0.9898331165313721,b74f224a-aa23-4359-891a-0331b94ab8ee,175,239,606,670,undefined,,,
6311,"5c6d183c7c4358f081a08c3d, 'New', 'New', 'New'",0.5808927416801453,f20e7cb6-2999-4c8a-ab3f-fd8dd43c05cb,289,480,241,432,undefined,,,
6312,"5c6d0f8c7c4358f081a080be, 'New', 'New', 'New'",1.0367084741592407,9acf30cf-c7fb-485f-9aab-d88539a5266a,51,281,191,420,undefined,,,
6313,5c6d0a1f7c4358f081a07982,0.18269464373588562,0,1,1.059732437133789,3381faaa-5579-4ec2-bfab-10a03d04a311,259,419,322,481,undefined
6314,"5c6d08fa7c4358f081a077e9, 'New', 'New', 'New'",0.701207160949707,9d0b6f7d-d768-4150-9bb2-038d8d2edfa6,192,384,222,413,undefined,,,
6315,5c6d07b17c4358f081a07628,0.1726461946964264,0,1,0.9201889038085938,6b46a1bc-c78c-447d-8d61-4572099a76ac,261,371,97,208,undefined
6316,5c6d004a7c4358f081a069e3,0.16315419971942902,0,2,0.9208282232284546,8f8446e8-6384-4f7e-9c2d-5def2b59db16,317,408,602,694,undefined
6317,5c6cf9e1593d1b43ecc0909c,0.1367601901292801,0,2,1.0164424180984497,c56e323c-11b5-46ba-af90-0e2c40c31394,326,418,98,191,undefined
6318,5c6cf783593d1b43ecc08c9d,0.08451670408248901,0,2,1.0328574180603027,170007e9-b283-43c0-b2cf-9da4a72d9f70,290,422,133,266,undefined
6319,5c6ce2d2593d1b43ecc067f6,0.1806800663471222,0,1,0.015576332807540894,45d3c03a-3fc5-4e4c-a394-f55d096f2a79,289,480,318,510,undefined
6320,5c6ce28f593d1b43ecc067e3,0.18456682562828064,0,2,0.28947150707244873,98997d0e-2fbe-4211-806c-2e3fae2dcd22,289,480,357,548,undefined
6321,5c6c3de32e8a8d1486ec8975,0.15580317378044128,0,2,0.8588002920150757,c9888c4e-91a9-411b-835f-0af14a5badf3,98,327,400,629,undefined
6322,5c6c3d832e8a8d1486ec8926,0.09717518091201782,0,1,1.050633192062378,c9888c4e-91a9-411b-835f-0af14a5badf3,98,327,330,559,undefined
6323,5c6c3d6a2e8a8d1486ec88b1,0.13071328401565552,0,3,0.7078723907470703,c9888c4e-91a9-411b-835f-0af14a5badf3,73,348,142,417,undefined
6324,5c6c3d422e8a8d1486ec8846,0.11646097898483276,0,2,1.0682631731033325,3a1ee4b7-9769-451c-b0c8-31f31e7804d4,98,327,330,559,undefined
6325,"5c6c3d1c2e8a8d1486ec87fb, 'New', 'New', 'New'",0.6771135926246643,2c497a26-9af8-43cb-8e60-8d0ee27ace56,28,258,260,490,undefined,,,
6326,5c6c3cf82e8a8d1486ec87e2,0.1892821341753006,0,1,0.4909507632255554,c726e7ad-004c-4468-93d1-cbc408d44049,121,350,376,606,undefined
6327,5c6c3ce12e8a8d1486ec87d9,0.17956973612308502,0,3,1.061327576637268,c9888c4e-91a9-411b-835f-0af14a5badf3,82,241,434,594,undefined
6328,5c6c3c692e8a8d1486ec8741,0.12087580561637878,0,1,0.9804896116256714,3a1ee4b7-9769-451c-b0c8-31f31e7804d4,51,281,191,420,undefined
